field_name,uri,group,required,description
samp_name,MIXS:0001107,,false,"Sample Name is a name that you choose for the sample. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. Every Sample Name from a single Submitter must be unique. "
project_name,MIXS:0000092,investigation,false,Name of the project within which the sequencing was organized
experimental_factor,MIXS:0000008,investigation,false,"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI"
env_broad_scale,MIXS:0000012,environment,false,"In this field, report which major environmental system your sample or specimen came from. The systems identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. were you in the desert or a rainforest?). We recommend using subclasses of ENVO’s biome class: http://purl.obolibrary.org/obo/ENVO_00000428. Format (one term): termLabel [termID], Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a water sample from the photic zone in middle of the Atlantic Ocean, consider: oceanic epipelagic zone biome [ENVO:01000033]. Example: Annotating a sample from the Amazon rainforest consider: tropical moist broadleaf forest biome [ENVO:01000228]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html"
env_local_scale,MIXS:0000013,environment,false,"In this field, report the entity or entities which are in your sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. Please use terms that are present in ENVO and which are of smaller spatial grain than your entry for env_broad_scale. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a pooled sample taken from various vegetation layers in a forest consider: canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [01000335]|shrub layer [ENVO:01000336]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html"
env_medium,MIXS:0000014,environment,false,"In this field, report which environmental material or materials (pipe separated) immediately surrounded your sample or specimen prior to sampling, using one or more subclasses of ENVO’s environmental material class: http://purl.obolibrary.org/obo/ENVO_00010483. Format (one term): termLabel [termID]; Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air ENVO_00002005. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html"
subspecf_gen_lin,MIXS:0000020,nucleic acid sequence source,false,"This should provide further information about the genetic distinctness of the sequenced organism by recording additional information e.g. serovar, serotype, biotype, ecotype, or any relevant genetic typing schemes like Group I plasmid. It can also contain alternative taxonomic information. It should contain both the lineage name, and the lineage rank, i.e. biovar:abc123"
ploidy,MIXS:0000021,nucleic acid sequence source,false,"The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2018-03-27) please refer to http://purl.bioontology.org/ontology/PATO"
num_replicons,MIXS:0000022,nucleic acid sequence source,false,"Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote"
extrachrom_elements,MIXS:0000023,nucleic acid sequence source,false,Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids)
estimated_size,MIXS:0000024,nucleic acid sequence source,false,The estimated size of the genome prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period.
ref_biomaterial,MIXS:0000025,nucleic acid sequence source,false,"Primary publication if isolated before genome publication; otherwise, primary genome report"
source_mat_id,MIXS:0000026,nucleic acid sequence source,false,"A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain ´UAM:Herps:14´ , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)."
pathogenicity,MIXS:0000027,nucleic acid sequence source,false,To what is the entity pathogenic
biotic_relationship,MIXS:0000028,nucleic acid sequence source,false,"Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object"
specific_host,MIXS:0000029,nucleic acid sequence source,false,"If there is a host involved, please provide its taxid (or environmental if not actually isolated from the dead or alive host - i.e. a pathogen could be isolated from a swipe of a bench etc) and report whether it is a laboratory or natural host)"
host_spec_range,MIXS:0000030,nucleic acid sequence source,false,The NCBI taxonomy identifier of the specific host if it is known
host_disease_stat,MIXS:0000031,nucleic acid sequence source,false,"List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text"
trophic_level,MIXS:0000032,nucleic acid sequence source,false,Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)
propagation,MIXS:0000033,nucleic acid sequence source,false,"This field is specific to different taxa. For phages: lytic/lysogenic, for plasmids: incompatibility group, for eukaryotes: sexual/asexual (Note: there is the strong opinion to name phage propagation obligately lytic or temperate, therefore we also give this choice"
encoded_traits,MIXS:0000034,nucleic acid sequence source,false,"Should include key traits like antibiotic resistance or xenobiotic degradation phenotypes for plasmids, converting genes for phage"
rel_to_oxygen,MIXS:0000015,nucleic acid sequence source,false,"Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments"
isol_growth_condt,MIXS:0000003,nucleic acid sequence source,false,"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material"
samp_collec_device,MIXS:0000002,nucleic acid sequence source,false,The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).
samp_collec_method,MIXS:0001225,nucleic acid sequence source,false,The method employed for collecting the sample
samp_mat_process,MIXS:0000016,nucleic acid sequence source,false,"Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI"
size_frac,MIXS:0000017,nucleic acid sequence source,false,Filtering pore size used in sample preparation
samp_size,MIXS:0000001,nucleic acid sequence source,false,"Amount or size of sample (volume, mass or area) that was collected"
samp_vol_we_dna_ext,MIXS:0000111,nucleic acid sequence source,false,Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).
source_uvig,MIXS:0000035,nucleic acid sequence source,false,Type of dataset from which the UViG was obtained
virus_enrich_appr,MIXS:0000036,nucleic acid sequence source,false,"List of approaches used to enrich the sample for viruses, if any"
nucl_acid_ext,MIXS:0000037,sequencing,false,"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample"
nucl_acid_amp,MIXS:0000038,sequencing,false,"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the enzymatic amplification (PCR, TMA, NASBA) of specific nucleic acids"
lib_size,MIXS:0000039,sequencing,false,Total number of clones in the library prepared for the project
lib_reads_seqd,MIXS:0000040,sequencing,false,Total number of clones sequenced from the library
lib_layout,MIXS:0000041,sequencing,false,"Specify whether to expect single, paired, or other configuration of reads"
lib_vector,MIXS:0000042,sequencing,false,Cloning vector type(s) used in construction of libraries
lib_screen,MIXS:0000043,sequencing,false,Specific enrichment or screening methods applied before and/or after creating libraries
target_gene,MIXS:0000044,sequencing,false,Targeted gene or locus name for marker gene studies
target_subfragment,MIXS:0000045,sequencing,false,Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA
pcr_primers,MIXS:0000046,sequencing,false,"PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters"
mid,MIXS:0000047,sequencing,false,"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters"
adapters,MIXS:0000048,sequencing,false,Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters
pcr_cond,MIXS:0000049,sequencing,false,Description of reaction conditions and components of PCR in the form of ´initial denaturation:94degC_1.5min; annealing=...´
seq_meth,MIXS:0000050,sequencing,false,"Sequencing method used; e.g. Sanger, ABI-solid"
seq_quality_check,MIXS:0000051,sequencing,false,"Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA,ENA or DRA"
chimera_check,MIXS:0000052,sequencing,false,"A chimeric sequence, or chimera for short, is a sequence comprised of two or more phylogenetically distinct parent sequences. Chimeras are usually PCR artifacts thought to occur when a prematurely terminated amplicon reanneals to a foreign DNA strand and is copied to completion in the following PCR cycles. The point at which the chimeric sequence changes from one parent to the next is called the breakpoint or conversion point"
tax_ident,MIXS:0000053,sequencing,false,The phylogenetic marker(s) used to assign an organism name to the SAG or MAG
assembly_qual,MIXS:0000056,sequencing,false,"The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling ≥ 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated"
assembly_name,MIXS:0000057,sequencing,false,Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community
assembly_software,MIXS:0000058,sequencing,false,"Tool(s) used for assembly, including version number and parameters"
annot,MIXS:0000059,sequencing,false,"Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter"
number_contig,MIXS:0000060,sequencing,false,"Total number of contigs in the cleaned/submitted assembly that makes up a given genome, SAG, MAG, or UViG"
feat_pred,MIXS:0000061,sequencing,false,"Method used to predict UViGs features such as ORFs, integration site, etc."
ref_db,MIXS:0000062,sequencing,false,"List of database(s) used for ORF annotation, along with version number and reference to website or publication"
sim_search_meth,MIXS:0000063,sequencing,false,"Tool used to compare ORFs with database, along with version and cutoffs used"
tax_class,MIXS:0000064,sequencing,false,"Method used for taxonomic classification, along with reference database used, classification rank, and thresholds used to classify new genomes"
_16s_recover,MIXS:0000065,sequencing,false,Can a 16S gene be recovered from the submitted SAG or MAG?
_16s_recover_software,MIXS:0000066,sequencing,false,Tools used for 16S rRNA gene extraction
trnas,MIXS:0000067,sequencing,false,The total number of tRNAs identified from the SAG or MAG
trna_ext_software,MIXS:0000068,sequencing,false,Tools used for tRNA identification
compl_score,MIXS:0000069,sequencing,false,"Completeness score is typically based on either the fraction of markers found as compared to a database or the percent of a genome found as compared to a closely related reference genome. High Quality Draft: >90%, Medium Quality Draft: >50%, and Low Quality Draft: < 50% should have the indicated completeness scores"
compl_software,MIXS:0000070,sequencing,false,"Tools used for completion estimate, i.e. checkm, anvi´o, busco"
compl_appr,MIXS:0000071,sequencing,false,"The approach used to determine the completeness of a given SAG or MAG, which would typically make use of a set of conserved marker genes or a closely related reference genome. For UViG completeness, include reference genome or group used, and contig feature suggesting a complete genome"
contam_score,MIXS:0000072,sequencing,false,"The contamination score is based on the fraction of single-copy genes that are observed more than once in a query genome. The following scores are acceptable for; High Quality Draft: < 5%, Medium Quality Draft: < 10%, Low Quality Draft: < 10%. Contamination must be below 5% for a SAG or MAG to be deposited into any of the public databases"
contam_screen_input,MIXS:0000005,sequencing,false,The type of sequence data used as input
contam_screen_param,MIXS:0000073,sequencing,false,"Specific parameters used in the decontamination sofware, such as reference database, coverage, and kmers. Combinations of these parameters may also be used, i.e. kmer and coverage, or reference database and kmer"
decontam_software,MIXS:0000074,sequencing,false,Tool(s) used in contamination screening
sort_tech,MIXS:0000075,sequencing,false,Method used to sort/isolate cells or particles of interest
single_cell_lysis_appr,MIXS:0000076,sequencing,false,Method used to free DNA from interior of the cell(s) or particle(s)
single_cell_lysis_prot,MIXS:0000054,sequencing,false,Name of the kit or standard protocol used for cell(s) or particle(s) lysis
wga_amp_appr,MIXS:0000055,sequencing,false,Method used to amplify genomic DNA in preparation for sequencing
wga_amp_kit,MIXS:0000006,sequencing,false,Kit used to amplify genomic DNA in preparation for sequencing
bin_param,MIXS:0000077,sequencing,false,The parameters that have been applied during the extraction of genomes from metagenomic datasets
bin_software,MIXS:0000078,sequencing,false,Tool(s) used for the extraction of genomes from metagenomic datasets
reassembly_bin,MIXS:0000079,sequencing,false,Has an assembly been performed on a genome bin extracted from a metagenomic assembly?
mag_cov_software,MIXS:0000080,sequencing,false,Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets
vir_ident_software,MIXS:0000081,sequencing,false,"Tool(s) used for the identification of UViG as a viral genome, software or protocol name including version number, parameters, and cutoffs used"
pred_genome_type,MIXS:0000082,sequencing,false,Type of genome predicted for the UViG
pred_genome_struc,MIXS:0000083,sequencing,false,Expected structure of the viral genome
detec_type,MIXS:0000084,sequencing,false,Type of UViG detection
otu_class_appr,MIXS:0000085,sequencing,false,"Cutoffs and approach used when clustering new UViGs in ""species-level"" OTUs. Note that results from standard 95% ANI / 85% AF clustering should be provided alongside OTUS defined from another set of thresholds, even if the latter are the ones primarily used during the analysis"
otu_seq_comp_appr,MIXS:0000086,sequencing,false,"Tool and thresholds used to compare sequences when computing ""species-level"" OTUs"
otu_db,MIXS:0000087,sequencing,false,"Reference database (i.e. sequences not generated as part of the current study) used to cluster new genomes in ""species-level"" OTUs, if any"
host_pred_appr,MIXS:0000088,sequencing,false,Tool or approach used for host prediction
host_pred_est_acc,MIXS:0000089,sequencing,false,"For each tool or approach used for host prediction, estimated false discovery rates should be included, either computed de novo or from the literature"
url,MIXS:0000091,sequencing,false,
sop,MIXS:0000090,sequencing,false,"Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences"
pcr_primer_forward,pcr_primer_forward,sequencing,false,"Forward PCR primer that were used to amplify the sequence of the targeted gene, locus or subfragment. If multiple multiple forward or reverse primers are present in a single PCR reaction, there should be a full row for each of these linked to the same DWC Occurrence. The primer sequence should be reported in uppercase letters"
pcr_primer_reverse,pcr_primer_reverse,sequencing,false,"Reverse PCR primer that were used to amplify the sequence of the targeted gene, locus or subfragment. If multiple multiple forward or reverse primers are present in a single PCR reaction, there should be a full row for each of these linked to the same DWC Occurrence. The primer sequence should be reported in uppercase letters"
pcr_primer_name_forward,pcr_primer_name_forward,sequencing,false,"Name of the forward PCR primer that were used to amplify the sequence of the targeted gene, locus or subfragment. If multiple multiple forward or reverse primers are present in a single PCR reaction, there should be a full row for each of these linked to the same DWC Occurrence."
pcr_primer_name_reverse,pcr_primer_name_reverse,sequencing,false,"Name of the reverse PCR primer that were used to amplify the sequence of the targeted gene, locus or subfragment. If multiple multiple forward or reverse primers are present in a single PCR reaction, there should be a full row for each of these linked to the same DWC Occurrence."
pcr_primer_reference,pcr_primer_reference,sequencing,false,"Reference for the PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment."
DNA_sequence,dna_sequence,sequencing,false,The DNA sequence
concentration,concentration,MaterialSample,false,Concentration of DNA (weight ng/volume µl)
concentrationUnit,concentrationUnit,MaterialSample,false,Unit used for concentration measurement
methodDeterminationConcentrationAndRatios,methodDeterminationConcentrationAndRatios,MaterialSample,false,Description of method used for concentration measurement
ratioOfAbsorbance260_230,ratioOfAbsorbance260_230,MaterialSample,false,"Ratio of absorbance at 260 nm and 230 nm assessing DNA purity (mostly secondary measure, indicates mainly EDTA, carbohydrates, phenol), (DNA samples only)."
ratioOfAbsorbance260_280,ratioOfAbsorbance260_280,MaterialSample,false,"Ratio of absorbance at 280 nm and 230 nm assessing DNA purity (mostly secondary measure, indicates mainly EDTA, carbohydrates, phenol), (DNA samples only)."
annealingTemp,annealingTemp,nucleic acid sequence source,false,The reaction temperature during the annealing phase of PCR.
annealingTempUnit,annealingTempUnit,nucleic acid sequence source,false,Measurement unit of the reaction temperature during the annealing phase of PCR.
probeReporter,probeReporter,nucleic acid sequence source,false,"Type of fluorophore (reporter) used. Probe anneals within amplified target DNA. Polymerase activity degrades the probe that has annealed to the template, and the probe releases the fluorophore from it and breaks the proximity to the quencher, thus allowing fluorescence of the fluorophore."
probeQuencher,probeQuencher,nucleic acid sequence source,false,"Type of quencher used. The quencher molecule quenches the fluorescence emitted by the fluorophore when excited by the cycler’s light source As long as fluorophore and the quencher are in proximity, quenching inhibits any fluorescence signals."
ampliconSize,ampliconSize,nucleic acid sequence source,false,The length of the amplicon in basepairs.
thresholdQuantificationCycle,thresholdQuantificationCycle,nucleic acid sequence source,false,Threshold for change in fluorescence signal between cycles
baselineValue,baselineValue,nucleic acid sequence source,false,The number of cycles when fluorescence signal from the target amplification is below background fluorescence not originated from the real target amplification.
quantificationCycle,quantificationCycle,nucleic acid sequence source,false,"The number of cycles required for the fluorescent signal to cross a given value threshold above the baseline. Quantification cycle (Cq), threshold cycle (Ct), crossing point (Cp), and take-off point (TOP) refer to the same value from the real-time instrument. Use of quantification cycle (Cq), is preferable according to the RDML (Real-Time PCR Data Markup Language) data standard (http://www.rdml.org)."
automaticThresholdQuantificationCycle,automaticThresholdQuantificationCycle,nucleic acid sequence source,false,Whether the threshold was set by the instrument or manually.
automaticBaselineValue,automaticBaselineValue,nucleic acid sequence source,false,Whether the baseline value was set by the instrument or manually.
contaminationAssessment,contaminationAssessment,nucleic acid sequence source,false,Whether DNA or RNA contamination assessment was done or not.
partitionVolume,partitionVolume,nucleic acid sequence source,false,An accurate estimation of partition volume. The sum of the partitions multiplied by the partition volume will enable the total volume of the reaction to be calculated.
partitionVolumeUnit,partitionVolumeUnit,nucleic acid sequence source,false,Unit used for partition volume
estimatedNumberOfCopies,estimatedNumberOfCopies,nucleic acid sequence source,false,Number of target molecules per µl. Mean copies per partition (?) can be calculated using the number of partitions (n) and the estimated copy number in the total volume of all partitions (m) with a formula ?=m/n.
amplificationReactionVolume,amplificationReactionVolume,nucleic acid sequence source,false,PCR reaction volume
amplificationReactionVolumeUnit,amplificationReactionVolumeUnit,nucleic acid sequence source,false,Unit used for PCR reaction volume. Many of the instruments require preparation of a much larger initial sample volume than is actually analyzed.
pcr_analysis_software,pcr_analysis_software,nucleic acid sequence source,false,The program used to analyse the d(d)PCR runs.
experimentalVariance,experimentalVariance,nucleic acid sequence source,false,"Multiple biological replicates are encouraged to assess total experimental variation. When single dPCR experiments are performed, a minimal estimate of variance due to counting error alone must be calculated from the binomial (or suitable equivalent) distribution."
pcr_primer_lod,pcr_primer_lod,nucleic acid sequence source,false,The assay’s ability to detect the target at low levels.
pcr_primer_loq,pcr_primer_loq,nucleic acid sequence source,false,The assay’s ability to quantify copy number at low levels.
